排名,球员姓名,球队,比赛场次,出场时间,得分,篮板,助攻,抢断,盖帽,投篮命中率,三分命中数,三分命中率%,罚球命中率
354,马库斯 萨瑟,活塞,57,14.2,6.6,1.2,2.3,0.6,0.1,46.3%,58,38.2%,84.3%
355,文斯 威廉姆斯,灰熊,27,18.5,6.6,3.6,2,0.4,0.3,40.1%,26,27.4%,79.2%
356,特雷斯 杰克逊-戴维斯,勇士,62,15.6,6.6,5,1.7,0.4,0.6,57.6%,0,0%,57.8%
357,普雷舍斯 阿丘瓦,尼克斯,57,20.5,6.6,5.6,1,0.8,0.7,50.2%,10,27.8%,59.4%
358,赛斯 库里,黄蜂,68,15.6,6.5,1.7,0.9,0.4,0.1,47.8%,83,45.6%,84.6%
359,塔伦 霍顿-塔克,公牛,58,12.5,6.5,1.7,1.4,0.4,0.2,45.7%,41,33.6%,73.5%
360,阿杰 米切尔,雷霆,36,16.6,6.5,1.9,1.8,0.7,0.1,49.5%,23,38.3%,82.9%
361,加里 佩顿二世,勇士,62,15,6.5,3,1.3,0.8,0.3,57.4%,31,32.6%,71.1%
362,特雷 莱尔斯,国王,69,19.6,6.5,4.6,1.2,0.6,0.3,42%,81,34%,70%
363,海伍德 海史密斯,热火,74,24.6,6.5,3.4,1.5,0.9,0.5,45.8%,89,38.2%,72.1%
364,多诺万 克林根,开拓者,67,19.8,6.5,7.9,1.1,0.5,1.6,53.9%,14,28.6%,59.6%
365,克里斯 邓恩,快船,74,24.1,6.4,3.4,2.8,1.7,0.4,43.9%,75,33.5%,68.2%
366,盖布 文森特,湖人,72,21.2,6.4,1.3,1.4,0.7,0.2,40%,109,35.3%,71.4%
367,KJ 马丁,76人,24,20,6.4,3,0.8,0.5,0.7,61.6%,8,38.1%,82.8%
368,罗纳德 霍兰德二世,活塞,81,15.6,6.4,2.7,1,0.6,0.2,47.4%,36,23.8%,75.4%
369,KJ 马丁,76人,19,22.7,6.3,2.8,1.5,0.3,0.3,49%,7,18.9%,72.2%
370,杰雷米亚 罗宾逊-厄尔,鹈鹕,66,18.8,6.3,4.8,1.3,0.6,0.1,45.5%,56,34.1%,83.6%
371,桑德罗 马穆拉什维利,马刺,61,11.2,6.3,3.1,0.8,0.4,0.3,50.2%,60,37.3%,74.1%
372,达维恩 米切尔,热火,44,24.5,6.3,1.9,4.6,0.7,0.2,43.4%,42,35.9%,67.6%
373,肯里奇 威廉姆斯,雷霆,69,16.4,6.3,3.5,1.4,0.6,0.1,48.3%,66,38.6%,71.8%
374,德鲁 史密斯,热火,14,19.1,6.2,2.6,1.6,1.5,0.4,50.8%,16,53.3%,75%
375,莱恩 罗林斯,雄鹿,56,14.6,6.2,1.9,1.9,0.8,0.3,48.7%,49,40.8%,80%
376,本 西蒙斯,快船,33,25,6.2,5.2,6.9,0.8,0.5,54.7%,0,0%,69.2%
377,乔纳森 莫格博,猛龙,63,20.4,6.2,4.9,2.3,0.9,0.5,43.8%,17,24.3%,73.2%
378,艾萨克 奥科罗,骑士,55,19.1,6.1,2.4,1.2,0.6,0.3,46.4%,56,37.1%,71.7%
379,杰克 拉拉维亚,国王,19,19.3,6.1,2.8,1.3,0.9,0.2,43.8%,20,38.5%,57.9%
380,贾拉斯 沃克,步行者,75,15.8,6.1,3.1,1.5,0.7,0.3,47.2%,75,40.5%,66.7%
381,以赛亚 王,步行者,20,13.3,6,1.6,1.4,0.6,0,39%,13,39.4%,73.5%
382,穆罕默德 盖耶,老鹰,33,16.2,6,4.2,0.8,0.8,1,42.1%,21,25.9%,76.2%
383,卢克 科内特,凯尔特人,73,18.6,6,5.3,1.6,0.5,1,66.8%,0,0%,69.1%
384,以赛亚 斯图尔特,活塞,72,19.9,6,5.5,1.7,0.4,1.4,55.9%,17,32.1%,75.9%
385,恩法利 丹特,火箭,4,12.8,6,5.3,0.5,0.3,1.3,76.9%,0,0%,80%
386,特伦斯 曼恩,老鹰,37,19.8,6,2.9,1.6,0.8,0.3,44.6%,26,34.7%,71.9%
387,大卫 罗迪,老鹰,3,9.7,6,3,1,0.7,0,42.1%,2,18.2%,0%
388,约什 奥科吉,太阳,25,14,6,2.9,0.6,0.8,0.4,49.1%,16,38.1%,68.8%
389,以赛亚 莫布利,骑士,1,17,6,4,5,1,1,28.6%,1,33.3%,50%
390,科林 卡斯尔顿,湖人,5,19.6,6,7.4,2,0.2,0.2,50%,0,0%,66.7%
391,詹姆斯 怀斯曼,步行者,1,5,6,1,0,0,0,50%,0,0%,100%
392,西蒙尼 冯泰奇奥,活塞,75,16.5,5.9,2.9,0.9,0.4,0.2,40.2%,76,33.5%,83.3%
393,科林 吉莱斯皮,太阳,33,14,5.9,2.4,2.4,0.6,0.2,43%,39,43.3%,86.4%
394,提贾尼 萨隆,黄蜂,60,20.7,5.9,4.7,1.2,0.5,0.2,33%,58,28.3%,71.3%
395,杰林 威廉姆斯,雷霆,47,16.7,5.9,5.6,2.6,0.5,0.6,43.9%,61,39.9%,76.7%
396,贾文特 格林,骑士,50,21.8,5.8,3.6,0.9,1.1,0.6,44.6%,38,35.2%,75.8%
397,德鲁 尤班克斯,快船,37,15.4,5.8,4.5,1.2,0.3,0.9,60.7%,3,60%,63.2%
398,罗伯特 威廉姆斯三世,开拓者,20,17.6,5.8,5.9,1.1,0.7,1.7,64.1%,1,33.3%,88.2%
399,杰伦 马丁,篮网,13,18,5.8,3.4,1.3,0.7,0,41.7%,6,27.3%,90%
400,昆顿 杰克逊,步行者,28,13.6,5.8,1.6,1.9,0.8,0.2,47.5%,15,37.5%,77.5%
401,罗伯特 威廉姆斯三世,开拓者,20,17.6,5.8,5.9,1.1,0.7,1.7,64.1%,1,33.3%,88.2%
402,穆萨 迪亚巴特,黄蜂,71,17.5,5.7,6.2,0.8,0.6,0.6,59.6%,0,0%,59.5%
403,达里克 怀特海德,篮网,20,12.3,5.7,1.5,0.6,0.3,0.1,40.6%,33,44.6%,60%
404,兰德里 沙梅特,尼克斯,50,15.2,5.7,1.2,0.5,0.5,0.1,46.1%,62,39.7%,66.7%
405,乔丹 古德温,湖人,29,18.7,5.6,3.9,1.4,1,0.4,43.8%,26,38.2%,81.8%
406,林迪 沃特斯三世,勇士,38,17.2,5.5,2.5,1.1,0.6,0.3,37.1%,49,33.1%,72.7%
407,阿隆 霍勒迪,火箭,62,12.8,5.5,1.3,1.3,0.3,0.2,43.7%,72,39.8%,82.9%
408,马基夫 莫里斯,独行侠,8,15.5,5.5,1.9,2.1,0.1,0.3,33.3%,7,30.4%,83.3%
409,基顿 华莱士,老鹰,31,16.2,5.4,1.6,2.6,0.9,0.3,40.1%,27,32.9%,100%
410,迪安 韦德,骑士,59,21.2,5.4,4.2,1.3,0.7,0.3,41.3%,80,36%,53.3%
411,凯莱布 马丁,独行侠,14,19.6,5.4,2.9,1.9,0.9,0.2,38.9%,4,25%,62.5%
412,杰夫 格林,火箭,32,12.4,5.4,1.8,0.6,0.2,0.1,50.4%,29,36.7%,80.8%
413,乔纳森 艾萨克,魔术,71,15.4,5.4,4.4,0.6,0.9,1.1,41.4%,39,25.8%,68.2%
414,温德尔 摩尔,活塞,16,17.5,5.4,3.2,1.2,0.6,0.1,47.4%,10,37%,62.5%
415,科比 巴夫金,老鹰,10,12.4,5.3,2.1,1.7,0.3,0.2,38.3%,4,21.1%,72.2%
416,贾马尔 凯恩,鹈鹕,37,13.6,5.3,2.3,0.6,0.6,0.2,43%,26,32.5%,68%
417,凯尔 安德森,勇士,36,15,5.3,3.1,2.3,0.7,0.6,45%,19,36.5%,66.7%
418,凯文 乐福,热火,23,10.9,5.3,4.1,1,0.7,0.2,35.7%,24,35.8%,69.6%
419,帕特 康诺顿,雄鹿,41,14.7,5.3,2.7,1.7,0.2,0.3,46.9%,26,32.1%,77.4%
420,马克斯韦尔 刘易斯,湖人,21,14.2,5.3,2.5,0.8,0.4,0.3,42.2%,19,38%,70%
421,本 谢泼德,步行者,63,19.5,5.3,2.8,1.3,0.6,0.2,41.8%,68,34.2%,88.9%
422,亚历克斯 里斯,76人,14,15.3,5.3,3.3,0.3,0.7,0.7,47.2%,15,36.6%,75%
423,蒙特 莫里斯,太阳,45,12.7,5.2,1.5,1.6,0.4,0.1,42.6%,31,36%,85.7%
424,贾巴里 沃克,开拓者,60,12.5,5.2,3.5,0.6,0.6,0.1,51.5%,28,38.9%,69%
425,俾斯麦 比永博,马刺,28,18.9,5.1,5.6,1.1,0.6,0.8,58.8%,0,0%,40%
426,米切尔 罗宾逊,尼克斯,17,17.1,5.1,5.9,0.8,0.9,1.1,66.1%,0,0%,68.4%
427,内米亚斯 奎塔,凯尔特人,62,13.9,5,3.8,0.7,0.3,0.7,65%,0,0%,75.4%
428,阿隆德斯 威廉姆斯,快船,1,4,5,0,1,0,0,100%,1,100%,0%
429,马拉基 布拉纳姆,马刺,47,9.1,5,1.1,0.8,0.2,0.1,45.8%,34,40.5%,81.8%
430,马文 巴格利三世,灰熊,19,8.8,4.9,2.9,0.4,0.4,0.3,53.5%,2,20%,65.2%
431,特雷维林 奎恩,魔术,31,13.9,4.9,1.7,1.2,1,0.3,38.1%,22,28.6%,85.7%
432,乔克 兰代尔,火箭,42,11.9,4.8,3.3,0.9,0.3,0.2,53.3%,11,42.3%,67.5%
433,泰勒 亨德里克斯,爵士,3,25,4.7,5,0.7,1.7,1.3,22.2%,3,25%,75%
434,朱利安 菲利普斯,公牛,79,14.2,4.6,2.1,0.5,0.5,0.3,44.6%,50,32.7%,78.9%
435,科迪 威廉姆斯,爵士,50,21.2,4.6,2.3,1.2,0.5,0.3,32.3%,35,25.9%,72.5%
436,莫 班巴,鹈鹕,28,12.6,4.6,4.3,0.6,0.3,1,46.6%,15,30%,68%
437,扎克 科林斯,公牛,36,11.8,4.6,2.8,1.4,0.4,0.4,46.2%,14,30.4%,88.6%
438,佩莱 拉尔森,热火,55,14.2,4.6,1.7,1.2,0.6,0.1,43.8%,32,33.7%,67.2%
439,大卫 罗迪,老鹰,27,12.8,4.5,2.6,1.1,0.4,0.3,47.3%,16,37.2%,81.8%
440,达伦 特里,公牛,73,13.5,4.5,1.7,1.3,0.6,0.2,44.8%,37,35.6%,71%
441,凯文 鲁尼,勇士,76,15,4.5,6.1,1.6,0.6,0.5,51.4%,2,40%,56.6%
442,罗布 迪林厄姆,森林狼,49,10.5,4.5,1,2,0.4,0,44.1%,25,33.8%,53.3%
443,杰特 霍华德,魔术,60,11.7,4.5,1.2,0.7,0.2,0.2,37.4%,55,29.6%,69.6%
444,梅森 普拉姆利,太阳,74,17.6,4.5,6.1,1.8,0.4,0.6,61.9%,0,0%,64.8%
445,里德 谢泼德,火箭,52,12.6,4.4,1.5,1.4,0.7,0.3,35.1%,48,33.8%,81.3%
446,特雷 琼斯,公牛,28,16.1,4.4,2.1,3.7,0.6,0.2,48.4%,8,30.8%,75.8%
447,帕蒂 米尔斯,快船,17,15.3,4.4,1.2,1.2,0.7,0.2,34.2%,17,29.8%,100%
448,查尔斯 巴锡,马刺,36,10.4,4.4,4.2,0.5,0.4,0.8,58.1%,0,0%,63.6%
449,拉马尔 斯蒂文斯,灰熊,17,9.2,4.4,2.2,0.5,0.3,0.2,46%,8,29.6%,72.7%
450,托尼 布拉德利,老鹰,14,8.1,4.4,3,0.4,0.1,0.6,64.4%,1,33.3%,33.3%
451,查尔斯 巴锡,马刺,36,10.4,4.4,4.2,0.5,0.4,0.8,58.1%,0,0%,63.6%
452,特雷 琼斯,公牛,28,16.1,4.4,2.1,3.7,0.6,0.2,48.4%,8,30.8%,75.8%
453,丹尼尔 泰斯,鹈鹕,38,16.3,4.3,4.3,1.6,0.5,0.5,47.3%,9,24.3%,83.8%
454,杰文 卡特,公牛,36,8.9,4.3,1.1,1.1,0.4,0.1,37.7%,35,33.3%,80%
455,迈卡 波特,爵士,38,18.6,4.3,4.3,0.8,0.4,0.4,42.2%,31,31.6%,85%
456,大卫 罗迪,老鹰,3,11.7,4.3,1.7,0.7,0,0.3,38.5%,1,14.3%,50%
457,特伦斯 香农,森林狼,32,10.6,4.3,1.5,1,0.2,0.2,48.2%,11,35.5%,81%
458,德隆 赖特,雄鹿,14,16.4,4.3,1.4,2.1,0.9,0.2,46.9%,8,33.3%,66.7%
459,多米尼克 巴洛,老鹰,35,10.7,4.2,2.4,0.5,0.3,0.5,53.1%,7,25.9%,63.6%
460,卡姆 斯宾塞,灰熊,25,10.1,4.2,1.2,1.4,0.4,0.1,41.5%,19,35.8%,100%
461,凯斯勒 爱德华兹,独行侠,40,15.2,4.2,2.9,1.1,0.5,0.5,49.6%,22,40.7%,92.3%
462,奥索 伊格达罗,太阳,61,17.1,4.2,3.6,1.2,0.5,0.5,60.4%,0,0%,58%
463,克里斯 穆雷,开拓者,69,15.1,4.2,2.6,1,0.5,0.2,41.9%,27,22.5%,45.6%
464,杜普 里斯,开拓者,46,10.2,4.2,2,0.6,0.3,0.3,42.2%,34,32.1%,90.9%
465,杰伦 皮克特,掘金,49,13.6,4.1,1.4,2.2,0.4,0.1,42.8%,40,39.6%,75%
466,古伊 桑托斯,勇士,56,13.6,4.1,3.1,1.4,0.4,0.2,45.8%,34,33%,69%
467,乔丹 米勒,快船,37,11.4,4.1,1.6,0.9,0.5,0.1,43.3%,8,21.1%,80%
468,贾里德 范德比尔特,湖人,36,16.1,4.1,5.1,1.1,1,0.3,48.8%,9,28.1%,55.6%
469,托马斯 布莱恩特,热火,10,11.5,4.1,3.2,0.4,0.1,0.9,42.9%,6,35.3%,100%
470,保罗 里德,活塞,45,9.7,4.1,2.7,1,0.9,0.6,50.7%,8,28.6%,76.2%
471,杰伦 克拉克,森林狼,40,13.1,4.1,1.3,0.7,0.9,0.1,46.7%,22,43.1%,78.4%
472,凯莱布 休斯坦,魔术,58,13.6,4.1,1.3,0.6,0.4,0.1,42.1%,64,40%,88.2%
473,尼古拉斯 巴图姆,快船,78,17.5,4,2.8,1.1,0.7,0.5,43.7%,88,43.3%,81%
474,罗恩 哈珀,凯尔特人,1,17,4,7,2,0,0,12.5%,0,0%,100%
475,马乔恩 博尚,快船,3,5.7,4,1,0.7,0,0,57.1%,2,66.7%,50%
476,约什 理查德森,热火,8,18.6,4,1.5,1.5,1,0.1,28.9%,6,27.3%,100%
477,奥利维尔-马克桑斯 普罗斯珀,独行侠,52,11.2,3.9,2.4,0.8,0.5,0.1,40.2%,12,23.5%,64.5%
478,斯蒂文 亚当斯,火箭,58,13.7,3.9,5.6,1.1,0.4,0.5,54.5%,0,0%,46.2%
479,谢克 米尔顿,湖人,30,11.5,3.9,1.8,1.3,0.3,0.1,43.3%,10,29.4%,84.6%
480,凯尔 洛瑞,76人,35,18.8,3.9,1.9,2.7,0.9,0.3,35%,29,33%,81.8%
481,JT 索尔,骑士,11,18.8,3.9,3.8,0.5,0.5,0.5,36.4%,3,20%,57.1%
482,杰登 斯普林格,凯尔特人,17,13.2,3.8,2,1.4,0.7,0.2,41.1%,6,20.7%,70.6%
483,布兰登 卡尔森,雷霆,32,7.7,3.8,1.7,0.4,0.2,0.7,44.3%,22,33.3%,77.8%
484,皮特 南斯,骑士,6,11.7,3.8,1.8,1.2,0.2,0.3,52.9%,5,41.7%,0%
485,奥斯曼 吉昂,雷霆,37,10.9,3.8,2.2,0.8,0.5,0.2,43.2%,23,32.4%,68.8%
486,德文 卡特,国王,36,11,3.8,2.1,1.1,0.6,0.1,37%,18,29.5%,59.1%
487,埃莫尼 贝茨,骑士,10,7.5,3.7,0.7,0.8,0.1,0.1,34.2%,11,36.7%,0%
488,克雷格 波特,骑士,51,10.1,3.7,1.3,1.4,0.3,0.3,51.4%,21,43.8%,71.9%
489,德安德烈 乔丹,掘金,56,12.3,3.7,5.1,0.9,0.3,0.5,65%,0,0%,42.2%
490,马拉奇 弗林,马刺,3,9.7,3.7,1.7,1,0.3,0,50%,1,100%,66.7%
491,杰克逊 罗,勇士,6,8.7,3.7,1.8,0.7,0.7,0,47.1%,3,30%,50%
492,科迪 马丁,太阳,14,14.7,3.7,3.4,1.1,0.9,0.4,35.1%,3,11.1%,75%
493,布莱克 韦斯利,马刺,58,11.8,3.7,1.1,2,0.6,0.1,43.5%,17,29.3%,62.3%
494,贝勒 谢尔曼,凯尔特人,31,12.4,3.6,2.1,1.1,0.5,0.1,35.5%,26,31.7%,75%
495,杰隆 泰森,骑士,47,9.6,3.6,2,0.9,0.3,0.1,43%,20,34.5%,79.2%
496,杰肖恩 泰特,火箭,52,11.3,3.6,2.3,0.9,0.5,0.1,47.3%,16,34.8%,68.1%
497,马文 巴格利三世,灰熊,12,8.3,3.6,2.3,0.3,0.2,0.3,48.6%,1,11.1%,66.7%
498,达里奥 萨里奇,掘金,16,13.1,3.5,3.1,1.4,0.4,0.1,36.2%,7,26.9%,70%
499,卢卡 加尔扎,森林狼,39,5.6,3.5,1.4,0.3,0.2,0.1,49.5%,10,27.8%,68.6%
500,科里 约瑟夫,魔术,50,12.2,3.5,1.5,1.4,0.5,0.1,40.3%,39,36.4%,77.8%
501,道格 麦克德莫特,步行者,42,8.1,3.5,0.5,0.2,0.1,0.1,42.7%,44,43.6%,60%
502,贾马里 布耶,雄鹿,5,12.4,3.4,1,2,0.8,0.4,50%,1,20%,66.7%
503,安德烈 杰克逊,雄鹿,67,14.6,3.4,2.7,1.2,0.5,0.2,47.7%,30,39.5%,50%
504,林迪 沃特斯三世,勇士,14,8.8,3.4,1,0.7,0.4,0.1,36.4%,15,39.5%,0%
505,艾萨克 琼斯,国王,40,7.6,3.4,1.4,0.3,0.1,0.3,65.1%,3,37.5%,63.9%
506,布鲁诺 费尔南多,猛龙,17,8.6,3.4,3,1.1,0.2,0.5,53.1%,0,0%,75%
507,贾文特 格林,骑士,18,9.2,3.3,2.2,0.6,0.6,0.1,36.5%,8,24.2%,50%
508,凯勒 凯利,鹈鹕,3,19.7,3.3,6,1,0.3,0.3,44.4%,0,0%,50%
509,凯文 诺克斯二世,勇士,14,6,3.3,1.2,0.4,0.1,0.3,50%,4,26.7%,75%
510,内特 威廉姆斯,火箭,20,7.4,3.3,0.7,0.5,0.4,0.2,43.5%,6,23.1%,62.5%
511,达米恩 李,太阳,25,5.8,3.3,0.8,0.4,0.2,0,36.5%,9,24.3%,95.2%
512,温德尔 摩尔,活塞,20,11,3.2,2.2,1.2,0.5,0.2,46%,4,28.6%,92.9%
513,齐克 纳吉,掘金,57,10.7,3.2,1.6,0.4,0.4,0.7,49.6%,17,32.7%,61.4%
514,卡姆 雷迪什,湖人,33,17.8,3.2,2,0.7,1,0.3,40.4%,13,27.7%,61.5%
515,摩西 布朗,独行侠,9,5.1,3.2,1.4,0,0.2,0.1,65%,0,0%,60%
516,伊莱贾 哈克利斯,快船,10,13.8,3.2,2.1,0.8,1,0.1,31.4%,7,28%,50%
517,JT 索尔,骑士,9,4.8,3.1,0.7,0.1,0.2,0.3,60%,3,50%,87.5%
518,帕蒂 米尔斯,快船,12,5.1,3.1,0.1,0.4,0.1,0,50%,9,50%,88.9%
519,马克西 克勒贝尔,独行侠,34,18.7,3,2.8,1.3,0.3,0.5,38.5%,13,26.5%,76.2%
520,凯勒 凯利,鹈鹕,8,8.4,3,2.6,0.3,0,0.3,76.9%,0,0%,66.7%
521,帕特里克 鲍德温,快船,2,3,3,1.5,0.5,0,0,100%,2,100%,0%
522,PJ 塔克,快船,3,19.3,3,2.7,0,0.3,0.3,42.9%,3,50%,0%
523,加里 哈里斯,魔术,48,14.8,3,1.3,0.6,0.5,0.3,38.3%,36,35.6%,58.3%
524,塔兹 摩尔,开拓者,2,10,3,4,0.5,1,0,20%,1,25%,50%
525,拉扬 吕佩尔,开拓者,52,8.8,3,1.3,0.5,0.3,0.1,40.8%,16,27.1%,76.7%
526,本 西蒙斯,快船,18,16.4,2.9,3.8,3.1,0.7,0.4,43.4%,0,0%,85.7%
527,泰勒 史密斯,雄鹿,23,5.3,2.9,1.1,0.2,0.1,0.2,48%,13,43.3%,75%
528,AJ 约翰逊,雄鹿,7,6.3,2.9,1,1,0.1,0,42.1%,3,60%,50%
529,马克尔 富尔茨,国王,21,8.8,2.9,1,1.3,0.5,0.1,41.8%,4,50%,100%
530,泰 吉布森,黄蜂,37,11.1,2.9,3.2,0.6,0.2,0.5,49.5%,1,50%,60%
531,托里 克雷格,凯尔特人,17,11.8,2.7,2.8,0.7,0.4,0.6,35.6%,9,29%,62.5%
532,德鲁 尤班克斯,快船,24,7.4,2.7,2.4,0.4,0.1,0.3,55.1%,0,0%,78.6%
533,克沙德 约翰逊,热火,16,6.1,2.7,1.8,0.3,0.3,0.3,69.2%,3,42.9%,44.4%
534,里斯 比克曼,勇士,34,13.7,2.7,1.1,1.8,0.9,0.1,32.1%,7,17.5%,76.2%
535,雷杰 丹尼斯,快船,11,6.4,2.7,1.1,1.3,0.6,0.2,33.3%,6,28.6%,100%
536,大卫 杜克,马刺,6,5.7,2.7,0.8,0.7,0.2,0,42.9%,3,50%,50%
537,亨特 泰森,掘金,51,7.8,2.6,1.5,0.4,0.2,0.1,37.5%,23,31.1%,75%
538,特雷 杰米森,鹈鹕,22,10.3,2.6,2.8,0.3,0.1,0.4,61.9%,0,0%,41.7%
539,约什 米诺特,森林狼,46,6,2.6,1,0.4,0.3,0.3,48.9%,14,32.6%,89.5%
540,杰 克劳德,雄鹿,9,11.4,2.6,2.2,0.7,0.3,0,31.8%,4,26.7%,83.3%
541,丘马 奥基基,骑士,2,12.5,2.5,2,1,0,0.5,28.6%,1,16.7%,0%
542,莫 班巴,鹈鹕,4,15.3,2.5,6.3,0.5,0,0.8,44.4%,0,0%,100%
543,帕特 斯宾塞,勇士,39,6.4,2.5,1.2,1.2,0.4,0.1,40.6%,5,22.7%,73.3%
544,德隆 赖特,雄鹿,26,15.6,2.5,1.8,1.8,0.9,0.3,26.8%,12,24.5%,56.3%
545,马乔恩 博尚,快船,6,2.8,2.5,1.5,0.2,0.2,0,45.5%,1,20%,100%
546,乔丹 麦克劳林,国王,18,6.9,2.5,0.5,1.5,0.3,0.1,53.6%,9,45%,100%
547,安东尼 吉尔,奇才,51,7.8,2.5,1.3,0.3,0.2,0.1,48.9%,10,32.3%,66%
